couple,state,pearson_corr,pearson_pvalue,perm_pvalue,max_cross_corr,cross_corr_lag,dtw_distance
couple1,baseline,-0.06536445673907293,0.7669915948532247,0.771,0.2919029113279384,-22,981.2007441249132
couple1,aroused,0.11415108945158911,0.010026370637081358,0.018,0.21172285247201686,69,1915.161806954802
couple2,baseline,0.18763750121481865,0.37994592033857766,0.384,0.4234572851347233,-5,456.1099656202657
couple2,aroused,0.07737143040233396,0.08147696562033388,0.089,0.1906706368177923,458,1943.2829686633106
couple3,baseline,0.2981561618346886,0.1095280293436166,0.112,0.8108099286932011,-2,600.9040663250753
couple3,aroused,0.03406278075876871,0.443636345239436,0.45,0.17863843821878755,292,1125.1523285769078
couple4,baseline,0.03887526501960033,0.860208918543596,0.868,0.412818983583202,-6,615.6344805034558
couple4,aroused,0.22218868491174731,4.216531662402008e-07,0.0,0.28423952211695247,176,1735.086962442913
couple5,baseline,-0.18834102405341113,0.35683812782652113,0.358,0.2630419333091823,3,589.3734591176378
couple5,aroused,0.17750595448440581,5.7482050404681164e-05,0.0,0.31667805204247346,20,1245.0347515884544
couple6,baseline,-0.18924507975463734,0.3989567886960136,0.374,0.5697219769074244,14,409.11002482144096
couple6,aroused,0.059541752929876464,0.18028240640749119,0.177,0.17290940439881822,121,1737.935549202719
couple7,baseline,-0.5626365929779181,0.004208761850889951,0.002,0.4149552356708962,19,490.7399308077958
couple7,aroused,0.39487517479126655,2.1032893816085587e-20,0.0,0.4034508636618995,-1,1890.0516065307393
